英语,中文简体,中文繁体,日语,阿尔巴尼亚语,阿拉伯语,阿姆哈拉语,阿塞拜疆语,爱尔兰语,爱沙尼亚语,巴斯克语,白俄罗斯语,保加利亚语,冰岛语,波兰语,波斯尼亚语,波斯语,布尔语(南非荷兰语),丹麦语,德语,俄语,法语,菲律宾语,芬兰语,弗里西语,高棉语,格鲁吉亚语,古吉拉特语,哈萨克语,海地克里奥尔语,韩语,豪萨语,荷兰语,布尔吉斯语,加利西亚语,加泰罗尼亚语,捷克语,卡纳达语,科西塞语,克罗地亚语,库尔德语,拉丁语,拉脱维亚语,老挝语,立陶宛语,卢森堡语,罗马尼亚语,马尔加什语,马耳他语,马拉地语,马拉雅拉姆语,马来语,马其顿语,毛利语,蒙古语,孟加拉语,缅甸语,苗语,南非科萨语,南非祖鲁语,尼泊尔语,挪威语,旁遮普语,葡萄牙语,普什图语,齐切瓦语,瑞典语,萨摩亚语,塞尔维亚语,塞索托语,僧伽罗语,世界语,斯洛伐克语,斯洛文尼亚语,斯瓦希里语,苏格兰盖尔语,宿务语,索马里语,塔吉克语,泰卢固语,泰米尔语,泰语,土耳其语,威尔士语,乌尔都语,乌克兰语,乌兹别克语,西班牙语,希伯来语,希腊语,夏威夷语,信德语,匈牙利语,修纳语,亚美尼亚语,伊博语,意大利语,意第绪语,印地语,印尼異他语,印尼语,印尼爪哇语,约鲁巴语,越南语
cobra,眼镜蛇,眼鏡蛇,コブラ,gjarpër me syze,الكوبرا,ኮብራይ,kobra,cobra,koobra,cobra,кобра,кобра,cobra,kobra,cobra,کبرا,kobra,cobra,Kobra,кобра,cobra,ulupong,kobra,cobra,cobra,კობრა,કોબ્રા,кобра,cobra,코브라,cobra,cobra,кобра,cobra,cobra,kobra,ಕೋಬ್ರಾ,cobra,kobra,kobra,fel,Kobra,cobra,kobra,Cobra,cobră,vipera,cobra,कोबरा,കോബ്ര,kobra,кобра,potae,кобра,গোক্ষুরা,မြွေဟောက်,cobra,cobra,i-cobra,कोबरा,cobra,ਕੋਬਰਾ,cobra,کوبرا,cobra,kobra,pusi,цобра,cobra,නාගයෙක්,kobro,kobra,kobra,kobra,cobra,cobra,cobra,Кубра,కోబ్రా,நாகம்,งูเห่า,kobra,cobra,کوبرا,кобра,kobra,kobra,קוֹבּרָה,κόμπρα,ka pahu hānai,ڪئوبرا,kobra,cobra,կոբրան,cobra,cobra,cobra,कोबरा,janur,kobra,cobra,ọpọlọ,rắn hổ mang
cougar,美洲狮,美洲獅,クーガー,pumë,أسد امريكي,cougar,yanıx xalaşka,cougar,kumm,Cougar,пума,пума,Cougar,puma,cougar,گربه وحشی پشمالو,cougar,Puma,Puma,пума,puma,cougar,puuma,cougar,cougar,ქალიშვილი,બિલાડીનો ટોપ,кумир,Cougar,쿠거,cougar,poema,Кошки,puma,puma,Puma,ಕೂಗರ್,puma,kuguar,kovar,cougar,puma,cougar,puma,cougar,pumă,cougar,cougar,कौगर,കൂർഗ്,cougar,пума,cougar,cougar,বনবিড়াল,cougar,sib tw,cougar,i-cougar,कोगार,Cougar,ਬੋਗਰ,puma,کوگر,cougar,puma,cougar,цоугар,cougar,කුරුල්ලෝ,lumo,Puma,Puma,Puma,cùbhraidh,cougar,galka,cougar,కౌగర్,கோகர்,เสือภูเขา,puma,cougar,کوگر,пума,yubka,yubka,פּוּמָה,ορεινός λέων,cougar,کوٽ,puma,cougar,սափրված,cougar,Puma,cougar,कौगर,cougar,cougar,cougar,cougar,cougar
cow,牛,牛,牛,lopë,بقرة,ላም,inək,bó,lehm,behi,карова,крава,kýr,krowa,krava,گاو,koei,ko,Kuh,корова,vache,baka,lehmä,ko,គោ,ძროხა,ગાય,сиыр,bèf,소,saniya,koe,уй,vaca,vaca,kráva,ಹಸು,vacca,krava,çêlek,vitula eligans,govs,ງົວ,karvė,Kéi,vacă,ombivavy,baqra,गाय,പശു,lembu,крава,kau,үхэр,গাভী,နွားမ,nyuj,inkomo,inkomo,गाई,ku,ਗਊ,vaca,غوا,ng'ombe,ko,povi,крава,khomo,ගව,bovino,krava,krava,krava,bò,baka,lo'da,гов,ఆవు,மாடு,วัว,inek,buwch,گائے,корова,sigir,sigir,פָּרָה,αγελάδα,kau,ڳئون,tehén,cow,կով,ehi,mucca,קו,गाय,sapi,sapi,sapi,Maalu,bò
crab,螃蟹,螃蟹,カニ,gaforre,سلطعون,ጫማ,yencək,portán,krabi,crab,краб,Краб,krabbi,Krab,rak,خرچنگ,krap,krabbe,Krabbe,краб,Crabe,alimango,rapu,krab,ក្តាម,კრაბი,કરચલો,теңіз шаяны,Crab,게,kaguwa,krab,краб,cangrexo,cranc,krab,ಏಡಿ,crab,Rak,kevcal,cancer,krabis,ກະປູ,krabas,Crab,crab,drakaka,granċ,खेकडा,ഞണ്ട്,ketam,рак,pupuhi,наймалж,কাঁকড়া,ဂဏန်း,roob ris,unonkala,udoti,केकडा,krabbe,ਕੇਕੜਾ,caranguejo,چنګاښ,nkhanu,krabba,topa,Краба,lekhala,කකුළුවා,krabo,krab,rak,rak,crab,crab,dib u habeyn,харчанг,పీత,நண்டு,ปู,Yengeç,cranc,کیکڑے,краб,dengiz qisqichbaqasi,dengiz qisqichbaqasi,סרטן,Κάβουρας,ka popo,ڪابينا,Rák,crab,ծովախեցգետին,nshịkọ,Granchio,קראַב,केकड़ा,keuyeup,Kepiting,kepiting,akan,cua
crayfish,小龙虾,小龍蝦,ザリガニ,karavidhe,جراد البحر,ብሬክፊሽ,kəklik,caorach,vähk,zigala,рачны рак,рак,crayfish,rak,rakovi,سرخدار,kreef,krebs,Flusskrebs,рак,écrevisse,ulang,rapu,kroan,ក្តាម,crayfish,ચિત્રશલાકા,өзен шаяны,kribich,왕새우,crayfish,rivierkreeft,суу чаяны,cangrexo,cranc de riu,rak,ಕಡಲೆ ಮೀನು,crayfish,rak,crayfish,CARABUS,vēži,crayfish,vėžiai,Kriibse,rac de râu,orana,gambli tal-gambli,गोड्या पाण्यातील एक मासा,ശുദ്ധജല കൊഞ്ച്,udang karang,ракчиња,te kowhatu,хавч,বাগদা চিংড়ি,ရေချိုကျောက်ပုစွန်,crayfish,icrayfish,isikhuphashe,क्रेफिश,edelkreps,ਕਰੇਫਿਸ਼,lagostim,کرایفش,nsomba zazinkhanira,kräfta,vali,ракови,tlhapi ea cray,පොකිරිස්සා,kruĉoj,rak,rakovice,rakovice,sgiobannan,crayfish,macaan,харчанг,crayfish,கடல் நண்டு,กั้ง,kerevit,cimychiaid,کرایفش,раки,Qisqichbaqa,Qisqichbaqa,סַרטַן הַנַהֲרוֹת,καραβίδα,ka iʻa,انهييڪيشن,folyami rák,crayfish,խեցգետին,ịsha,Gambero,ראַק,क्रेफ़िश,udang Karang,udang karang,crayfish,ede,tôm càng xanh
crocodile,鳄鱼,鱷魚,クロコダイル,krokodil,تمساح,አዞ,timsah,crogall,krokodill,krokodiloa,кракадзіл,крокодил,crocodile,krokodyl,krokodil,تمساح,krokodil,krokodille,Krokodil,крокодил,crocodile,buwaya,krokotiili,krokodil,ក្រពើ,ნიანგი,મગર,крокодил,kwokodil,악어,tsirara,krokodil,крокодил,cocodrilo,cocodril,krokodýl,ಮೊಸಳೆ,coccodile,krokodil,tîmseh,crocodili,krokodils,crocodile,krokodilas,Krokodil,crocodil,voay,kukkudrill,मगर,മുതല,buaya,крокодил,karaka,матар,কুম্ভীর,မိကြောငျး,khej,ingwenya,ingwenya,मकवानपुर,krokodille,ਮਗਰਮੱਛ,crocodilo,میووډول,ng'ona,krokodil,tarako,крокодил,koena,කිඹුල්,krokodilo,krokodíl,krokodil,krokodil,crogall,buaya,yaxaaska,тухм,మొసలి,முதலை,จระเข้,timsah,crocodeil,مگرمچھ,крокодил,timsoh,timsoh,תַנִין,κροκόδειλος,ke kani,زراعت,krokodil,nguruve,կոկորդիլոս,agụ iyi,coccodrillo,קראָקאָדיל,मगरमच्छ,buaya,buaya,buaya,ooni,Cá sấu
cuttlefish,乌贼,烏賊,オタク,sepje,الحبار حيوان بحري هلامي,ማሴሊሽ,qaraciyər,caorach,seepia,txibia,каракаціцы,сепия,smokkfiskur,mątwa,sipka,تفاله ماهی,cuttlefish,blæksprutte,Tintenfisch,каракатица,seiche,cuttlefish,seepia,cuttlefish,ត្រីកាត់,cuttlefish,કટ્ટીફિશ,қарақұйрық,kutlefish,오징어,yankakke,inktvis,сыя,choco,sípia,sépie obecná,ಕಟ್ಲಫಿಶ್,cuttlefish,sipa,kişandin,saepiae,sēpijas,cuttlefish,sepijos,Tintenfisch,sepie,Orita,siċċ,कटलफिश,കട്ടിൾഫിഷ്,sotong,сипа,te tipu,cuttlefish,সামুদ্রি প্রাণীবিশেষ,ကင်းမွန်,cuttlefish,cuttlefish,i-cuttlefish,कट्टरफिश,blekksprut,ਕਟਲਫਿਸ਼,choco,کټیففش,cuttlefish,bläckfisk,laʻau,сипка,cuttlefish,දැල්ලන්,parpiŝo,sépia obyčajná,sipa,sipa,sgoltag,cuttlefish,Matalan,мағоза,కటిల్ఫిష్,கணவாய் மீன்,ปลาหมึก,mürekkepbalığı,pysgod coch,کٹلیفش,каракатиця,sho'rpich,sho'rpich,דְיוֹנוֹן,σουπιά,ke kai,ڪٽيلڪش,tintahal,cuttlefish,կարտոֆիլ,cuttlefish,seppia,קוטטלעפיש,कटलफ़िश,Balakutak,sotong,cuttlefish,cuttlefish,mực nang
deer,鹿,鹿,鹿,dre,الغزال,አጋዘን,geyik,fianna,hirved,orein,алень,елен,dádýr,jeleń,jelen,گوزن,takbokke,hjort,Hirsch,олень,cerf,usa,Peura,hart,សត្វក្តាន់,ირმის,હરણ,бұғы,sèf,사슴,deer,hert,бугу,corzo,cérvol,Jelen,ಜಿಂಕೆ,cervu,jelen,ahû,arietes,brieži,deer,elnias,Réi,cerb,serfa,ċriev,हरण,മാൻ,rusa,елен,whee,буга,হরিণ,သမင်ဒရယ်,mos lwj,inyamazane,inyamazane,हिरण,hjort,ਹਿਰਨ,cervo,منر,mbawala,rådjur,tia,јелен,likhama,මුවා,cervoj,jeleň,jelen,jelen,fèidh,usa,deer,гӯр,జింక,மான்,กวาง,geyik,ceirw,ہنر,оленя,kiyik,kiyik,צְבִי,ελάφι,deer,منير,szarvas,deer,եղնիկը,deer,cervo,הירש,हिरन,mencek,rusa,rusa,Deer,con nai
dingo,野狗,野狗,ディンゴ,qen i egër i australisë,الدنغ كلب استرالي,dingo,dingo,dingo,dingo,dingo,Дынга,динго,dingo,dingo,dingo,دینگو,dingo,dingo,Dingo,динго,dingo,dingo,dingo,dingo,dingo,დინგო,ડિંગો,динго,Dingo,들개,dingo,dingo,динго,dingo,Dingo,dingo,ಡಿಂಗೊ,dingo,dingo,dingo,dingo,dingo,dingo,Dingo,Dingo,Dingo,Dingô,Dingo,डिंगो,dingo,dingo,Динго,Tuhinga o mua,dingo,কুকুরদেশেষ,dingo,dingo,dingo,dingo,डिंगो,dingo,ਡਿੰਗੋ,dingo,ډینګو,dingo,dingo,dingo,динго,dingo,ඩෙන්ගෝ,Dingo,austrálsky pes,dingo,dingo,dingo,dingo,dingo,динго,డింగో,நசுக்கியும்,ดินโก,dingo,dingo,ڈنگو,дінго,dingo,dingo,דינגו,dingo,ʻO dingo,ڊنگو,dingó,dingo,դինգո,dingo,dingo,dingo,कुत्ते का एक प्राकर,dingo,dingo,dingo,dingo,dingo
dodo,渡渡鸟,渡渡鳥,ドードー,leshko,طائر الدودو,ዶዶ,dodo,dodo,dodo,dodo,дронта,глупак,dodo,dront,dodo,دودو,dodo,dodo,Dodo,дронт,dodo,dodo,tee Tee,dodo,ដូដូ,დოდო,ડોડો,dodo,dodo,도도,dodo,dodo,Додо,dodo,dodo,dodo,ಡೋಡೋ,dodo,dodo,dodo,Kessinger,dodo,dodo,dodo,dodo,dodo,Dodo,dodo,डोडो,ഡോഡോ,dodo,додо,dodo,dodo,ডোডো,ဒေါ,dodo,dodo,dodo,डोडो,dodo,ਡੌਡੋ,dodo,دودو,dodo,dront,dodo,додо,dodo,ඩොඩෝ,dodo,dodo,dodo,dodo,dodo,dodo,dodo,додо,డోడో,டோடோ,นกโดโด,nesli tükenmiş bir kuş,dodo,دودو,Додо,dodo,dodo,דודו,μυθολογικό πτηνό,dodo,دودو,dodó,dodo,dodo,dodo,dodo,דאָדאָ,सुस्तदिमाग़,dodol,dodo,dodo,Dodo,dodo
dolphin,海豚,海豚,イルカ,delfin,دولفين,ዶልፊን,Yunus,Deilf,delfiin,izurdea,дэльфін,делфин,höfrungur,delfin,delfin,دلفین,dolfyn,delfin,Delphin,дельфин,dauphin,dolpin,delfiini,dolfyn,ផ្សោត,დელფინი,ડોલ્ફીન,дельфин,Dolphin,돌고래,dabbar dolfin,dolfijn,дельфин,Golfiño,dofí,delfín,ಡಾಲ್ಫಿನ್,delfinu,dupin,masîyê ûnis,scrutantem delphina uident,delfīns,ປາ​ໂລ​ມາ,delfinas,Delphin,delfin,feso,delfini,डॉल्फिन,ഡോൾഫിൻ,lumba-lumba,делфин,whara,далайн гахай,শুশুক,လပိုင်,ntses taub ntses,i dolphin,ihlengethwa,डल्फिन,delfin,ਡਾਲਫਿਨ,golfinho,ډففین,dolphin,delfin,dolphin,делфин,dolphin,ඩොල්ෆින්,delfeno,delfín,delfin,delfin,leumadair,dolphin,Dolphin,дффин,డాల్ఫిన్,டால்பின்,ปลาโลมา,Yunus,dolffiniaid,ڈالفن,дельфін,Yunus,Yunus,דולפין,δελφίνι,dolphin,ڊولفن,delfin,dolphin,դելֆին,dolphin,delfino,דעלפין,डॉल्फिन,lauk lumba-lumba,lumba-lumba,dolphin,ẹja,cá heo
dragon,龙,龍,ドラゴン,dragua,تنين,ድራጎን,dragon,dragan,draakon,herensuge,цмок,дракон,dreki,smok,zmaj,اژدها,draak,trække på,Drachen,Дракон,dragon,Dragon,lohikäärme,draak,នាគ,დრაკონი,ડ્રેગન,айдаһар,dragon,용,dragon,draak,ажыдаар,dragón,drac,drak,ಡ್ರ್ಯಾಗನ್,dragon,zmaj,zîha,draco,pūķis,ມັງກອນ,drakonas,Draach,balaur,dragona,Dragun,ड्रॅगन,ഡ്രാഗൺ,naga,змеј,tarakona,луу,ঘুড়ি বিশেষ,နဂါး,zaj,inamba,idrako,ड्रैगन,drage,ਅਜਗਰ,Dragão,ډریګون,chinjoka,drake,tarako,змај,dragon,මකරා,drako,drak,zmaj,zmaj,dragan,dragon,masduulaagii,аждаҳо,డ్రాగన్,டிராகன்,มังกร,Ejderha,draig,ڈریگن,дракон,ajdaho,ajdaho,דְרָקוֹן,δράκων,ka dragon,ڊريگن,sárkány,dhiragoni,վիշապին,dragon,Drago,דראַגאָן,अजगर,naga,naga,naga,dragoni naa,rồng
dugong,儒艮,儒艮,ジュゴン,Dugong,الأطوم,ዱጉንግ,dugong,dugong,dugong,dugong,дзюгонёў,Dugong,dugong,diugoń,dugong,dugong,doegong,dugong,Dugong,дюгоня,dugong,dugong,dugongi,dugong,dugong,დუგოგი,ડગૉંગ,dugong,dugong,듀공,dugong,dugong,Дюгон,dugong,dugong,dugong,ಡುಗಾಂಗ್,dugung,dugong,dugong,janthinarum,dugong,dugong,Dugong,Dugong,Dugong,dugong,dugong,डगॉंग,ദുഗ്ഗങ്,dugong,dugong,digong,dugong,বৃহৎ স্তন্যপায়ী উদ্ভিদভোজী সামুদ্রিক প্রাণীবিশেষ,dugong,dugong,dugong,i-dugong,dugong,dugong,ਡੁਗੋਂਗ,dugong,ډګګونگ,dugong,dugong,dugong,дугонг,dugong,ඩොව්නන්ය,Dugong,dugong,dugong,dugong,dugong,dugong,qodob,баста шуд,దుగొంగుల,அவில்லியா,ตัวพะยูน,dugong,dugong,ڈوگونگ,Дунгун,dugong,dugong,דאגונג,dugong,ʻo digong,ٽنگو,dugong,dugong,դագոնգ,digong,dugongo,dugong,Dugong,dugong,dugong,dugong,dugong,dugong
eagle,鹰,鷹,鷲,shqiponjë,نسر,ንስር,qartal,iolaire,kotkas,arrano,арол,орел,örn,orzeł,orao,عقاب,arend,ørn,Adler,орел,Aigle,agila,kotka,earn,ឥន្ទ្រី,არწივი,ઇગલ,қыран,malfini,독수리,mikiya,adelaar,бүркүт,aguia,àguila,orel,ಹದ್ದು,aquila,orao,qertel,aquila,ērglis,eagle,erelis,Adler,vultur,voromahery,ajkla,गरूड,കഴുകൻ,helang,орел,eakara,бүргэд,গল,လင်းယုန်ငှက်,eagle,ukhozi,ukhozi,ईगल,Ørn,ਇੱਲ,Águia,ایګل,mphungu,Örn,aeto,орао,ntsu,රාජාලි,aglo,orol,orel,orel,iolaire,agila,gorgortan,eagle,డేగ,கழுகு,นกอินทรีย์,kartal,eryr,ایگل,орел,burgut,burgut,נשר,αετός,eagle,چيل آهي,sas,eagle,արծիվ,ugo,aquila,אָדלער,ईगल,manuk galudra,burung rajawali,elang,idì,chim ưng
echidna,针鼹,針鼴,エキドナ,Echidna,إيكيدنا,echidna,echidna,echidna,Echidna,echidna,яхідна,ехидна,echidna,echidna,ehidna,اکیدنا,mierystervark,Echidna,Echidna,ехидна,echidna,echidna,Echidna,echidna,echidna,echidna,ઇચિિના,эхидна,echidna,바늘 두더지,echidna,mierenegel,echidna,echidna,echidna,echidna,ಇಕಿಡ್ನಾ,echidna,echidna,echidna,echidna,ehidna,echidna,Echidna,echidna,echidna,echidna,echidna,एचिदान,echidna,echidna,ехидна,echidna,echidna,একিদনা,echidna,echidna,echidna,echidna,echidna,Maurpinnsvin,ਏਚਿਨਾ,Echidna,ایډیدن,echidna,echidna,echidna,ецхидна,echidna,Echidna,eĥidna,echidna,echidna,echidna,echidna,echidna,echidna,echidna,echidna,Echidna,ตุ่น,echidna,echidna,ایچھن,ехідна,echidna,echidna,echidna,echidna,echidna,ايڇڊنا,Echidna,echidna,Էխիդնան,echidna,echidna,echidna,इकिडना,echidna,echidna,echidna,echidna,echidna
eel,鳗鱼,鰻魚,ウナギ,ngjalë,الانقليس,ዳባ,eel,eascann,angerjas,eel,угору,змиорка,ál,węgorz,jegulja,قورباغه,eel,ål,Aal,угорь,anguille,igat,ankerias,iel,អន្ទង់,ელე,ઇલ,жыланбалық,eel,뱀장어,eel,paling,бетке чыккан ысык,anguías,anguila,úhoř,ಈಲ್,anguilla,jegulja,marmasî,eel,zutis,eel,ungurys,eel,Ţipar,amalona,sallura,केळी,ഈൽ,belut,јагула,Tuhinga,могой,পাঁকাল,ငါးရှဉ့်,eel,I-eel,i-eel,eel,ål,ਬਾਮਮਛਲੀ,enguia,اییل,njoka yam'madzi,ål,uila,јегуља,tlhapinohana,ආඳා,kapelo,úhor,jegulje,jegulje,easgann,eel,eel,мормоҳӣ,ఈల్,விலாங்கு,ปลาไหล,yılanbalığı,llyswennod,اییل,вугор,Ilonbaliq,Ilonbaliq,צְלוֹפָּח,χέλι,eel,اييل,angolna,eel,էլ,eel,Anguilla,על,बाम मछली,belut,belut,eel,eeli,lươn
elephant,象,象,象,elefant,فيل,ዝሆን,fil,eilifint,elevant,elefante,слон,слон,fíll,słoń,slon,فیل,olifant,elefant,Elefant,слон,l'éléphant,elepante,norsu,oaljefant,ដំរី,სპილო,હાથી,слон,elefan,코끼리,giwa,olifant,пил,elefante,elefant,slon,ಆನೆ,elefante,slon,fîl,elephantus,zilonis,ຊ້າງ,dramblys,Elefant,elefant,elefanta,iljunfant,हत्ती,ആന,gajah,слон,haina,заан,হাতি,ဆင်,ntxhw,indlovu,indlovu,हात्ती,elefant,ਹਾਥੀ,elefante,هفتي,njovu,elefant,elefane,слон,tlou,අලි ඇතුන්,elefanto,slon,slon,slon,ailbhean,elepante,maroodi,фил,ఏనుగు,யானை,ช้าง,fil,eliffant,ہاتھی,слон,fil,fil,פיל,ελέφαντας,ʻeleʻele,هاٿي,elefánt,nzou,փիղ,elephant,elefante,עלעפאַנט,हाथी,gajah,gajah,gajah,erin,con voi
elk,麋鹿,麋鹿,エルク,dre,ظبي,ኤልክ,elk,elk,põder,elk,лось,лосове,Elk,łoś,elk,گوزن,elk,elg,Elch,лось,wapiti,elk,hirvi,elk,អ៊ឹក,ელკ,એલ્ક,elk,elk,고라니,elk,eland,Элк,alces,alces,elk,ಎಲ್ಕ್,alce,los,elk,alces,aļņ,elk,briedis,elk,elan,Elk,elk,एल्क,എൽക്ക്,rusa,елен,Tuhinga o mua,хандгай,হরিণবিশেষ,ဆတ်,ntxhuav,elk,elk,elk,elg,ਏਲਕ,elk,elk,elk,älg,elk,елк,elk,එළුවා,elk,los,elk,elk,elk,elk,elk,Эл,ఎల్క్,மான்,กวางชนิดใหญ่,Kanada geyiği,elk,ایلک,лося,elk,elk,דִישׁוֹן,μεγάλη έλαφος,elk,ڇوڪش,jávorszarvas,elk,Էլկ,elk,alce,עלק,गोज़न,Elk,rusa besar,elk,elk,con nai
emu,鸸,鴯,エミュ,emu,الإمو طائر استرالي,ኢዩ,emu,emu,emu,emu,эму,ему,emu,emu,emu,emu,EMU,emu,Emu,эму,émeu,emu,emu,emu,emu,ემა,ઇમુ,emu,emu,에뮤,emu,emoe,EMU,emu,emu,emu,ಎಮು,emu,emu,emu,emu,emu,emu,emu,emu,emu,emu,Emu,इमू,എമു,emu,emu,emu,emu,পক্ষীবিশেষ,emu,emu,emu,emu,emu,emu,ਇਮੂ,Emu,ام,emu,emu,emu,ему,emu,ඉමු,emu,emu,emu,emu,emu,emu,emu,Э.,ఈము,ஈமு,นกอีมู,koşucu devekuşu,emu,ام,emu,emu,emu,אֶמוּ,είδος στρουθοκαμήλου,emu,ايم,emu madár,emu,emu,emu,emu,emu,एमु,emu,emu,emu,emu,emu
falcon,鹘,鶻,ファルコン,skifter,صقر,ፎጣ,şahin,fabhcún,falcon,falcon,сокал,сокол,falk,sokół,sokol,falcon,Falcon,falk,Falke,сокол,faucon,salamin,haukka,falcon,falcon,falcon,બાજ,шаян,falcon,매,falcon,valk,шумкар,halcón,falcó,sokol,ಫಾಲ್ಕನ್,falcone,Sokol,teyrê baz,intuitus est,piekūns,falcon,falcon,falcon,şoim,voromahery,falkun,बाज़न,ഗന്ധകം,falcon,сокол,Tuhinga o mua,шонхор,বাজপাখি,သိမ်းငှက်,falcon,falcon,i-falcon,falcon,falk,ਬਾਜ਼,falcão,فالیک,falcon,falk,faga,сокол,falcon,ෆොල්කොන්,falko,sokol,sokol,sokol,falcon,falcon,falcon,швейтсарӣ,గద్దను,ஃபால்கான்,เหยี่ยวนกเขา,şahin,falcon,باہمی,сокіл,falok,falok,בַּז,γεράκι,palekana,باطل,sólyom,falcon,փեսացու,ọgbọ,falco,falcon,बाज़,alap-alap,elang,elang,eletan,chim ưng
flamingo,火烈鸟,火烈鳥,フラミンゴ,zog flamingo,البشروس طائر مائي,ፍላይዞ,flamingo,flamingo,flamingo,flamenko,фламінга,фламинго,flamingo,flaming,flamingo,فلامینگو,flaminke,flamingo,Flamingo,фламинго,flamant,flamingo,flamingo,flamingo,ភ្លើងឆេះ,ფლამინგო,ફ્લેમિંગો,фламинго,Flamingo,플라밍고,flamingo,flamingo,Блэкпул,flamenco,flamenc,plameňák,ಫ್ಲೆಮಿಂಗೋ,flamingo,flamingo,flamingo,phoenicopteri,flamingo,flamingo,flamingo,Flamingo,flamingo,flamingo,flamingo,फ्लेमिंगो,ഫ്ലമിംഗൊ,flamingo,фламинго,flamingo,фламинго,মরাল,Flamingo,flamingo,flamingo,flamingo,flamingo,flamingo,ਫਲੇਮਿੰਗੋ,flamingo,فومومو,flamingo,flamingo,flamingo,фламинго,flamingo,ෆ්ලෙමින්ගෝ,flamingo,plameniak,flamingo,flamingo,flamingo,flamingo,flamingo,flamingo,ఫ్లెమింగో,ஃபிளமிங்கோ,นกกระเรียน,flamingo,fflamingo,فومنگو,фламінго,flamingo,flamingo,פלָמִינגוֹ,φοινικόπτερος,ke ahi,فلاڻي,flamingó,flamingo,Ֆլամինգո,ọkụ,fenicottero,פלאַמינגאָ,मराल,flamingo,flamingo,flamingo,flamingo,Chim hồng hạc
fox,狐狸,狐狸,狐,dhelpër,ثعلب,ቀበሮ,tülkü,sionnach,rebane,azeria,лісіца,лисица,refur,lis,lisica,روباه,jakkals,Ræv,Fuchs,лиса,Renard,soro,kettu,fokse,កញ្ជ្រោង,მელა,શિયાળ,түлкі,rena,여우,fox,vos,түлкү,raposo,guineu,liška,ನರಿ,fox,lisica,rêvî,vulpes,lapsa,fox,lapė,Fuuss,vulpe,amboahaolo,volpi,कोल्हा,കുറുക്കൻ,musang,лисица,Tuhinga o mua,үнэг,শিয়াল,မွေခှေး,Hma liab,fox,fox,फक्स,rev,ਲੂੰਬੜੀ,Raposa,فکس,nkhandwe,räv,fox,лисица,fox,නරියා,vulpo,líška,lisica,lisica,sionnach,singgalong,dawaco,хоб,నక్క,நரி,จิ้งจอก,tilki,llwynogod,لومڑی,лисиця,tulki,tulki,שׁוּעָל,αλεπού,fox,فيڪس,róka,fox,աղվեսը,fox,Volpe,פוקס,लोमड़ी,rubah,rubah,rubah,fox,cáo
frog,青蛙,青蛙,カエル,bretkocë,ضفدع,እንቁራሪ,qurbağa,frog,konn,igel,жаба,жаба,froskur,żaba,žaba,قورباغه,padda,frø,Frosch,лягушка,grenouille,palaka,sammakko,kikkert,កង្កែប,ბაყაყი,દેડકા,лягушка,krapo,개구리,frog,kikker,бака,rana,granota,žába,ಕಪ್ಪೆ,frog,žaba,beq,ranae,varde,ກົບ,varlė,Frosch,broască,sahona,Żrinġ,बेडूक,തവള,katak,жаба,poraka,мэлхий,বেঙ,ဖါး,Qav,frog,frog,भ्यागुतो,frosk,ਡੱਡੂ,rã,مچک,frog,groda,pulu,жаба,frog,ගෙම්බා,rano,žaba,žaba,žaba,lagan,baki,rahmad,қурбонӣ,కప్ప,தவளை,กบ,kurbağa,broga,میڑک,жаба,qurbaqa,qurbaqa,צְפַרְדֵעַ,βάτραχος,aouli,ڏيڏر,béka,frog,գորտ,oyi,rana,זשאַבע,मेढक,bangkong,katak,frog,Ọpọlọ,con ếch
gazelle,羚羊,羚羊,ガゼル,gazelë,غزال,የሜዳ ፍየል,ceylan,gazelle,gazelle,gazela,газель,газела,gazelle,gazela,gazelle,گازلا,gemsbok,gazelle,Gazelle,газель,gazelle,gasel,gaselli,gazelle,gazelle,gazelle,ચમકદાર,жейде,gazèl,가젤 영양,gazelle,gazelle,Жейрен,gacela,gacela,gazela,ಗಸೆಲ್,gazelle,gazela,gazelle,silvis,gazele,gazelle,gazelė,gazelle,gazelă,gazela,gazelle,गझल,ഗസൽ,gazelle,газела,Tuhinga o mua,цагаан зээр,হরিণ,ဒရယ်,gazelle,ibhasi,iphephe,गजेल,gazelle,ਗਜ਼ੇਲ,gazela,غاز,gazi,gasell,gazelle,газелле,tšepe,ගාසෙල්,gazelo,gazela,gazelle,gazelle,gazelle,gasela,Geelle,гарм,దుప్పి,மான்,กว้างชนิดหนึ่ง,ceylân,gazelle,گازلی,газелі,jiyan,jiyan,צְבִי,γκαζέλλα,gazelle,گازيل,gazella,gazelle,վզնոց,mgbada,gazzella,גאַזעל,छोटा सुन्दर बारहसिंघ,gazelle,kijang,gazelle,agbọnrin,linh dương
